Kindergarten Activity Sheets (Waray),,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Kindergarten
Pag-andam Hin Kahiaraan,,pcs,0,90,70,20,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Kindergarten
Math TG 6 Years Old,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Kindergarten
Araling Panlipunan 1 Learner's Material,,pcs,0,90,90,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Araling Panlipunan 1 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Bumasa at Sumulat 1 Learner's Material,,pcs,0,90,90,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Bumasa at Sumulat 1 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Edukasyon sa Pagpapakatao 1 Learner's Material,,pcs,0,90,90,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Edukasyon sa Pagpapakatao I Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
English 1 Learner's Material,,pcs,0,95,95,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
English 1 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Filipino 1 Learner's Material,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Filipino 1 Patnubay ng Guro,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
MAPEH 1 Learner's Material,,pcs,0,15,15,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
MAPEH 1 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Mathematics 1  Learner's Material,,pcs,0,90,90,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Mathematics 1  Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
MTB-MLE 1 Learner's Material,,pcs,0,90,90,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
MTB-MLE 1 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_1
Ang Bagong Batang Pinoy Learner's Material 2,,pcs,0,89,86,3,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Ang Bagong Batang Pinoy Teacher's Guide 2,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Araling Panlipunan 2 Learner's Material,,pcs,0,86,78,8,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Araling Panlipunan 2 teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Edukasyon Sa Pagpapakatao 2 Learner's Material,,pcs,0,89,82,7,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Edukasyon Sa Pagpapakatao 2 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Lets Begin Reading In Englis 2 Leraner's Material,,pcs,0,83,74,9,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Lets Begin Reading In Englis 2 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
MAPEH 2 Learner's Material,,pcs,0,140,120,20,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
MAPEH 2 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Matehmatics 2 Learner's Material,,pcs,0,84,75,9,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Mathematics 2 Teacger's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
MTB-MLE 2 Learner's Material,,pcs,0,85,74,11,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
MTB-MLE 2 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_2
Edukasyon Sa Pagpapakatao 3 Learner's Material,,pcs,0,57,54,3,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Edukasyon Sa Pagpapakatao 3 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
English 3 Learner's Material,,pcs,0,86,85,1,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
English 3 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Filipino 3 Batang Pinoy Learner's Material,,pcs,0,85,80,5,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Filipino 3 Batang Pinoy teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MAPEH  3 LM,,pcs,0,80,78,2,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MAPEH  3 TM,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MAPEH 3 Learner's Material,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MAPEH 3Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Mathematics 3 Learner's Material,,pcs,0,77,71,6,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Mathematics 3 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MTB-MLE 3 Learner's Material,,pcs,0,75,70,5,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
MTB-MLE 3 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Schience 3 Learner's Material,,pcs,0,78,75,3,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Science 3 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_3
Araling Panlipunan 4 Learner's Material,,pcs,0,77,56,21,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Araling Panlipunan 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyon Sa Pagpapakatao 4 Learner's Material,,pcs,0,76,61,15,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyon Sa Pagpapakatao 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyong Pangkatawan at Pangkalusugan (PEH) 4 Learner's Material,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyong Pangkatawan at Pangkalusugan (PEH) 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyong Pantahanan at Pangkabuhayan 4 Learner's Material,,pcs,0,82,74,8,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Edukasyong Pantahanan at Pangkabuhayan 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
English 4 Learner's Materials,,pcs,0,65,47,18,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
English 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Filipino 4 Learner's Material,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Filipino 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Mathematics 4 Learner's Material,,pcs,0,76,62,14,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
Mathematics 4 Teacher's Guide,,,0,,,0,0,0,In Good Condition,Instructional Materials,Supplied by DepEd,Grade_4
